objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll0011,1stsummerinst01.jpg,,SLIS Pic 11,SLIS @ 60 Committee,1980-11,lorem ipsum dolor,dean; library,Quezon City,18.10514975,130.3599362,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0012,1stsummerinst02.jpg,,SLIS Pic 12,SLIS @ 60 Committee,1980-12,lorem ipsum dolor,information science,Quezon City,18.45016639,131.288818,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0013,30th10001.jpg,,SLIS Pic 13,SLIS @ 60 Committee,1981-01,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,18.79518303,132.2176998,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0014,30th10002.jpg,,SLIS Pic 14,SLIS @ 60 Committee,1981-02,lorem ipsum dolor,faculty; teacher,Quezon City,19.14019967,133.1465817,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0015,30th10007.jpg,,SLIS Pic 15,SLIS @ 60 Committee,1981-03,lorem ipsum dolor,dean; library,Quezon City,19.48521631,134.0754635,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0016,40th10001.jpg,,SLIS Pic 16,SLIS @ 60 Committee,1981-04,lorem ipsum dolor,information science,Quezon City,19.83023295,135.0043453,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0017,40th10002.jpg,,SLIS Pic 17,SLIS @ 60 Committee,1981-05,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,20.17524958,135.9332271,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0018,40th10003.jpg,,SLIS Pic 18,SLIS @ 60 Committee,1981-06,lorem ipsum dolor,faculty; teacher,Quezon City,20.52026622,136.8621089,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0019,50th-001.JPG,,SLIS Pic 19,SLIS @ 60 Committee,1981-07,lorem ipsum dolor,dean; library,Quezon City,20.86528286,137.7909907,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0020,50th-002.JPG,,SLIS Pic 20,SLIS @ 60 Committee,1981-08,lorem ipsum dolor,information science,Quezon City,21.2102995,138.7198725,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0021,50th-004.JPG,,SLIS Pic 21,SLIS @ 60 Committee,1981-09,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,21.55531614,139.6487543,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0022,50th-005.JPG,,SLIS Pic 22,SLIS @ 60 Committee,1981-10,lorem ipsum dolor,faculty; teacher,Quezon City,21.90033278,140.5776361,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0023,50th-006.JPG,,SLIS Pic 23,SLIS @ 60 Committee,1981-11,lorem ipsum dolor,dean; library,Quezon City,22.24534942,141.5065179,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0024,50th-007.JPG,,SLIS Pic 24,SLIS @ 60 Committee,1981-12,lorem ipsum dolor,information science,Quezon City,22.59036606,142.4353997,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0025,50th-008.JPG,,SLIS Pic 25,SLIS @ 60 Committee,1982-01,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,22.9353827,143.3642815,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0026,50th-011.JPG,,SLIS Pic 26,SLIS @ 60 Committee,1982-02,lorem ipsum dolor,faculty; teacher,Quezon City,23.28039934,144.2931633,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0027,50th-013.JPG,,SLIS Pic 27,SLIS @ 60 Committee,1982-03,lorem ipsum dolor,dean; library,Quezon City,23.62541597,145.2220451,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0028,50th-014.JPG,,SLIS Pic 28,SLIS @ 60 Committee,1982-04,lorem ipsum dolor,information science,Quezon City,23.97043261,146.1509269,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0029,50th-018.JPG,,SLIS Pic 29,SLIS @ 60 Committee,1982-05,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,24.31544925,147.0798087,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0030,50th-019.JPG,,SLIS Pic 30,SLIS @ 60 Committee,1982-06,lorem ipsum dolor,faculty; teacher,Quezon City,24.66046589,148.0086905,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0031,50th-020.JPG,,SLIS Pic 31,SLIS @ 60 Committee,1982-07,lorem ipsum dolor,dean; library,Quezon City,25.00548253,148.9375723,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0032,50th-021.JPG,,SLIS Pic 32,SLIS @ 60 Committee,1982-08,lorem ipsum dolor,information science,Quezon City,25.35049917,149.8664541,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0033,50th-022.JPG,,SLIS Pic 33,SLIS @ 60 Committee,1982-09,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,25.69551581,150.7953359,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0034,abueva01.jpg,,SLIS Pic 34,SLIS @ 60 Committee,1982-10,lorem ipsum dolor,faculty; teacher,Quezon City,26.04053245,151.7242177,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0035,achieve00.jpg,,SLIS Pic 35,SLIS @ 60 Committee,1982-11,lorem ipsum dolor,dean; library,Quezon City,26.38554909,152.6530995,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0036,achieve01.jpg,,SLIS Pic 36,SLIS @ 60 Committee,1982-12,lorem ipsum dolor,information science,Quezon City,26.73056572,153.5819813,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0037,achieve02.jpg,,SLIS Pic 37,SLIS @ 60 Committee,1983-01,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,27.07558236,154.5108631,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0038,achieve03.jpg,,SLIS Pic 38,SLIS @ 60 Committee,1983-02,lorem ipsum dolor,faculty; teacher,Quezon City,27.420599,155.439745,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0039,afolayan-uplissapres..jpg,,SLIS Pic 39,SLIS @ 60 Committee,1983-03,lorem ipsum dolor,dean; library,Quezon City,27.76561564,156.3686268,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0040,alejandro1.jpg,,SLIS Pic 40,SLIS @ 60 Committee,1983-04,lorem ipsum dolor,information science,Quezon City,28.11063228,157.2975086,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0041,aliep01.jpg,,SLIS Pic 41,SLIS @ 60 Committee,1983-05,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,28.45564892,158.2263904,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0042,aliep02.JPG,,SLIS Pic 42,SLIS @ 60 Committee,1983-06,lorem ipsum dolor,faculty; teacher,Quezon City,28.80066556,159.1552722,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0043,aliep03.JPG,,SLIS Pic 43,SLIS @ 60 Committee,1983-07,lorem ipsum dolor,dean; library,Quezon City,29.1456822,160.084154,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0044,aliep04.JPG,,SLIS Pic 44,SLIS @ 60 Committee,1983-08,lorem ipsum dolor,information science,Quezon City,29.49069884,161.0130358,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0045,aliep05.JPG,,SLIS Pic 45,SLIS @ 60 Committee,1983-09,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,29.83571548,161.9419176,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0046,aliep06.JPG,,SLIS Pic 46,SLIS @ 60 Committee,1983-10,lorem ipsum dolor,faculty; teacher,Quezon City,30.18073211,162.8707994,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0047,alieplogo.png,,SLIS Pic 47,SLIS @ 60 Committee,1983-11,lorem ipsum dolor,dean; library,Quezon City,30.52574875,163.7996812,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0048,angie.jpg,,SLIS Pic 48,SLIS @ 60 Committee,1983-12,lorem ipsum dolor,information science,Quezon City,30.87076539,164.728563,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0049,bernardo_gabriel.jpg,,SLIS Pic 49,SLIS @ 60 Committee,1984-01,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,31.21578203,165.6574448,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0050,bernardo_gabriel2.jpg,,SLIS Pic 50,SLIS @ 60 Committee,1984-02,lorem ipsum dolor,faculty; teacher,Quezon City,31.56079867,166.5863266,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0051,bg001.JPG,,SLIS Pic 51,SLIS @ 60 Committee,1984-03,lorem ipsum dolor,dean; library,Quezon City,31.90581531,167.5152084,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0052,bg002.JPG,,SLIS Pic 52,SLIS @ 60 Committee,1984-04,lorem ipsum dolor,information science,Quezon City,32.25083195,168.4440902,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0053,bg003.JPG,,SLIS Pic 53,SLIS @ 60 Committee,1984-05,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,32.59584859,169.372972,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0054,bg003a.jpg,,SLIS Pic 54,SLIS @ 60 Committee,1984-06,lorem ipsum dolor,faculty; teacher,Quezon City,32.94086523,170.3018538,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0055,bg004.JPG,,SLIS Pic 55,SLIS @ 60 Committee,1984-07,lorem ipsum dolor,dean; library,Quezon City,33.28588187,171.2307356,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0056,bg005.JPG,,SLIS Pic 56,SLIS @ 60 Committee,1984-08,lorem ipsum dolor,information science,Quezon City,33.6308985,172.1596174,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0057,bg006.JPG,,SLIS Pic 57,SLIS @ 60 Committee,1984-09,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,33.97591514,173.0884992,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0058,bg007.JPG,,SLIS Pic 58,SLIS @ 60 Committee,1984-10,lorem ipsum dolor,faculty; teacher,Quezon City,34.32093178,174.017381,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0059,bg008.JPG,,SLIS Pic 59,SLIS @ 60 Committee,1984-11,lorem ipsum dolor,dean; library,Quezon City,34.66594842,174.9462628,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0060,bg009.JPG,,SLIS Pic 60,SLIS @ 60 Committee,1984-12,lorem ipsum dolor,information science,Quezon City,35.01096506,175.8751446,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0061,bg01.JPG,,SLIS Pic 61,SLIS @ 60 Committee,1985-01,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,35.3559817,176.8040264,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0062,bg010.JPG,,SLIS Pic 62,SLIS @ 60 Committee,1985-02,lorem ipsum dolor,faculty; teacher,Quezon City,35.70099834,177.7329083,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0063,bg011.JPG,,SLIS Pic 63,SLIS @ 60 Committee,1985-03,lorem ipsum dolor,dean; library,Quezon City,36.04601498,178.6617901,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0064,bg012.JPG,,SLIS Pic 64,SLIS @ 60 Committee,1985-04,lorem ipsum dolor,information science,Quezon City,36.39103162,179.5906719,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0065,bg013.JPG,,SLIS Pic 65,SLIS @ 60 Committee,1985-05,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,36.73604825,17.07009983,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0066,bg014.JPG,,SLIS Pic 66,SLIS @ 60 Committee,1985-06,lorem ipsum dolor,faculty; teacher,Quezon City,37.08106489,17.41511647,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0067,bg015.JPG,,SLIS Pic 67,SLIS @ 60 Committee,1985-07,lorem ipsum dolor,dean; library,Quezon City,37.42608153,17.76013311,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0068,bg01col.jpg,,SLIS Pic 68,SLIS @ 60 Committee,1985-08,lorem ipsum dolor,information science,Quezon City,37.77109817,18.10514975,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0069,bg02.JPG,,SLIS Pic 69,SLIS @ 60 Committee,1985-09,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,38.11611481,18.45016639,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0070,bg03.JPG,,SLIS Pic 70,SLIS @ 60 Committee,1985-10,lorem ipsum dolor,faculty; teacher,Quezon City,38.46113145,18.79518303,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0071,bg04.JPG,,SLIS Pic 71,SLIS @ 60 Committee,1985-11,lorem ipsum dolor,dean; library,Quezon City,38.80614809,19.14019967,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0072,bg04a.JPG,,SLIS Pic 72,SLIS @ 60 Committee,1985-12,lorem ipsum dolor,information science,Quezon City,39.15116473,19.48521631,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0073,bg05.JPG,,SLIS Pic 73,SLIS @ 60 Committee,1986-01,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,39.49618137,19.83023295,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0074,bg06.JPG,,SLIS Pic 74,SLIS @ 60 Committee,1986-02,lorem ipsum dolor,faculty; teacher,Quezon City,39.84119801,20.17524958,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0075,bg07.JPG,,SLIS Pic 75,SLIS @ 60 Committee,1986-03,lorem ipsum dolor,dean; library,Quezon City,40.18621464,20.52026622,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
